date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:00:04	986691/986691	---MCZ	200	added ('OK')	text/html	etag:W/%225e03d4ec6011dc091719f45aeed837b8%22	https://www.duana.info/en	C:/My%20Web%20Sites/task1234/www.duana.info/en.html	(from )
04:00:05	313/313	---MCZ	200	added ('OK')	text/plain	etag:W/%22242-hIecMllBiMHA9/OI57oZq1VDURI%22	https://www.duana.info/robots.txt		(from )
04:00:06	16892/16892	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Dec%202024%2011:44:41%20GMT	https://static.wixstatic.com/media/1bba6e_ace6926d4b7a4fb4a532531d0235da51~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/1bba6e_ace6926d4b7a4fb4a532531d0235da51~mv2.jpg	C:/My%20Web%20Sites/task1234/static.wixstatic.com/media/1bba6e_ace6926d4b7a4fb4a532531d0235da51_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/1bba6e_ace6926d4b7a4fb4a532531d0235da51_mv2.jpg	(from https://www.duana.info/en)
04:00:06	1527/1527	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Dec%202024%2011:44:42%20GMT	https://static.wixstatic.com/media/1bba6e_ace6926d4b7a4fb4a532531d0235da51~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/1bba6e_ace6926d4b7a4fb4a532531d0235da51~mv2.jpg	C:/My%20Web%20Sites/task1234/static.wixstatic.com/media/1bba6e_ace6926d4b7a4fb4a532531d0235da51_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/1bba6e_ace6926d4b7a4fb4a532531d0235da51_mv2.jpg	(from https://www.duana.info/en)
04:00:06	15271/15271	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Dec%202024%2011:44:43%20GMT	https://static.wixstatic.com/media/1bba6e_ace6926d4b7a4fb4a532531d0235da51~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/1bba6e_ace6926d4b7a4fb4a532531d0235da51~mv2.jpg	C:/My%20Web%20Sites/task1234/static.wixstatic.com/media/1bba6e_ace6926d4b7a4fb4a532531d0235da51_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/1bba6e_ace6926d4b7a4fb4a532531d0235da51_mv2.jpg	(from https://www.duana.info/en)
04:00:07	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/task1234/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.duana.info/en)
04:00:08	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/task1234/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.duana.info/en)
04:00:09	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20Dec%202024%2010:59:46%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/task1234/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.duana.info/en)
04:00:09	6598/6598	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Dec%202024%2011:44:46%20GMT	https://static.wixstatic.com/media/1bba6e_12a7aaf54a334a3c8691486f6bfeb253~mv2.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/1bba6e_12a7aaf54a334a3c8691486f6bfeb253~mv2.jpg	C:/My%20Web%20Sites/task1234/static.wixstatic.com/media/1bba6e_12a7aaf54a334a3c8691486f6bfeb253_mv2.jpg/v1/fill/w_288,h_192,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/1bba6e_12a7aaf54a334a3c8691486f6bfeb253_mv2.jpg	(from https://www.duana.info/en)
04:00:10	12815/12815	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Dec%202024%2011:44:46%20GMT	https://static.wixstatic.com/media/1bba6e_3d70bb7b49f5449a83469511f04b1fbc~mv2.png/v1/crop/x_39,y_0,w_605,h_478/fill/w_143,h_113,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Screenshot_20240109_114011_Gallery_edited.png	C:/My%20Web%20Sites/task1234/static.wixstatic.com/media/1bba6e_3d70bb7b49f5449a83469511f04b1fbc_mv2.png/v1/crop/x_39,y_0,w_605,h_478/fill/w_143,h_113,al_c,q_85,usm_0.66_1.00_0.01,enc_av/Screenshot_20240109_114011_Gallery_edited.png	(from https://www.duana.info/en)
04:00:12	989320/989320	---MCZ	200	added ('OK')	text/html	etag:W/%22c6758aaaf11b3ae24167d1736705973a%22	https://www.duana.info/	C:/My%20Web%20Sites/task1234/www.duana.info/index.html	(from https://www.duana.info/en)
04:00:14	940599/940599	---MCZ	200	added ('OK')	text/html	etag:W/%22d5c58d46a3cee195267128f8f5896e8e%22	https://www.duana.info/en/a-propos	C:/My%20Web%20Sites/task1234/www.duana.info/en/a-propos.html	(from https://www.duana.info/en)
04:00:16	1114539/1114539	---MCZ	200	added ('OK')	text/html	etag:W/%222a9b9e16fed8bba5e16aa73d53006f92%22	https://www.duana.info/en/loyalty	C:/My%20Web%20Sites/task1234/www.duana.info/en/loyalty.html	(from https://www.duana.info/en)
04:00:18	922710/922710	---MCZ	200	added ('OK')	text/html	etag:W/%22c8108dfd0a6eb258bea975d988e0f6a4%22	https://www.duana.info/en/calendrier	C:/My%20Web%20Sites/task1234/www.duana.info/en/calendrier.html	(from https://www.duana.info/en)
04:00:20	974226/974226	---MCZ	200	added ('OK')	text/html	etag:W/%22e1bd058f38517aa0991f6c1a7decb6fa%22	https://www.duana.info/en/contact	C:/My%20Web%20Sites/task1234/www.duana.info/en/contact.html	(from https://www.duana.info/en)
04:00:25	1007347/1007347	---MCZ	200	added ('OK')	text/html	etag:W/%22e9752719ea35c1c07591a6e41380be49%22	https://www.duana.info/en/refer-friends	C:/My%20Web%20Sites/task1234/www.duana.info/en/refer-friends.html	(from https://www.duana.info/en)
04:00:31	942577/942577	---MCZ	200	added ('OK')	text/html	etag:W/%2277be97412a7eca75f5a55af44e9e81f3%22	https://www.duana.info/en/faq	C:/My%20Web%20Sites/task1234/www.duana.info/en/faq.html	(from https://www.duana.info/en)
04:00:33	923393/923393	---MCZ	200	added ('OK')	text/html	etag:W/%229257adf4a97ff93b66bb0d70e733ff8b%22	https://www.duana.info/en/politique-de-confidentialit%c3%a9	C:/My%20Web%20Sites/task1234/www.duana.info/en/politique-de-confidentialit%c3%a9.html	(from https://www.duana.info/en)
04:00:42	1079626/1079626	---MCZ	200	added ('OK')	text/html	etag:W/%22ad9f42651441f03de1627ad431e77b97%22	https://www.duana.info/en/book-online	C:/My%20Web%20Sites/task1234/www.duana.info/en/book-online.html	(from https://www.duana.info/en)
04:00:44	317640/317640	---MCZ	200	added ('OK')	text/html	etag:W/%2231a8345254c460bd19e071a3be3b34c9%22	https://www.duana.info/en/copie-de-lithoth%c3%a9rapie	C:/My%20Web%20Sites/task1234/www.duana.info/en/copie-de-lithoth%c3%a9rapie.html	(from https://www.duana.info/en)
04:00:47	1336447/1336447	---MCZ	200	added ('OK')	text/html	etag:W/%225dc37cd8ae37c3fbe6a53d90194b6bc8%22	https://www.duana.info/en/services	C:/My%20Web%20Sites/task1234/www.duana.info/en/services.html	(from https://www.duana.info/en)
